Start Time (Hour:Min:Secs)	End Time (Hour:Min:Secs)	Speaker ID	Transcribed Text
00:07:23	00:07:25	2	take it off 
00:07:25	00:07:28	1	it's a personal day yeah hey we 
00:07:28	00:07:40	2	he said i mean here we don't nobody works just tore nude here and there any way to make a long story short it was <unk> it would simply a long time to finally decide and then i made a few demand because the truth is that whoever was that can um 
00:07:45	00:08:02	2	they had it easy because i ran the kids just right now no one's there to run the kitchen i said i'm not going to do this without someone you know that's not fair for all the work that i did and even i must admit delve even one pays me a compliment he said it would be easier to finding that can now and then to find some 
00:08:02	00:08:04	1	to replace me 
00:08:04	00:08:13	2	i did the menus and i did this he's we're up will die and i made sure that everything ran and was gone and done and you know and now i have to do all of that and um 
00:08:13	00:08:15	1	well who's gonna do 
00:08:15	00:08:20	2	well so they put you remember my <unk> the argentinian girls powerless 
00:08:33	00:08:35	1	the guy that we have the cook uh-huh 
00:08:35	00:08:46	2	take more responsibility some still doing every night i write them exactly what to do all day long [noise] the only problem is now the girls were <unk> like the in the next week 
00:08:55	00:08:59	2	all the things i want them to do that to have to do the truth is originally 
00:09:15	00:09:17	1	but it didn't work out and 
00:09:17	00:09:19	2	sort of said may be 
00:09:19	00:09:20	1	[noise] now we're back 
00:09:20	00:09:38	2	you know not not another hobby ride and the kids just so we'll have to see but you know it's like i was adamant about it and then i was adamant that i have a good helper the socio economic so now they just die from missouri but not very serious so i'll get 'em out of there and we'll get someone from based on the town 
00:09:38	00:09:43	1	right well if everybody from the keyboards goes off the keyboards he got 
00:09:43	00:09:48	2	go find people the truth is also you know everyone tried to convince me 
00:09:48	00:09:54	1	it's moving up at it's doing other things and it's you know it's a big responsibility and 
00:10:00	00:10:06	1	sleep at night and the truth is even when they would tell you that let's see do you're moving up and so he's 
00:10:22	00:10:28	2	strings or so we'll see how it so hopefully i mean they promised me you know everybody that they're going to help me 
00:10:28	00:10:30	1	whatever i say 
00:10:52	00:10:55	1	because i said i don't know how to turn it on but no i'm not 
00:10:55	00:11:15	2	if i could do it by myself but he's showing me seeing me and i think like the middle of this week he'll be there a few days it's me and then and that he um maybe here and there but he's really basically is what is he going to do he's going to be a teacher for um high school computers 
00:11:15	00:11:16	1	oh okay 
00:11:16	00:11:20	2	yeah so he's only teaching three days a week so he always says it another day 
00:11:20	00:11:23	1	if i made him he'll come in the truth is even teach 
00:11:23	00:11:34	2	and very patient and very good and he also it's great that he has written down everything i'm sure he's thrilled to get out of there well i'll tell you the truth 
00:11:34	00:11:37	1	i mean now that i worked with him one to what 
00:11:37	00:11:42	2	he does do everything was his heart i mean it's not <unk> he's just he has it 
00:11:42	00:11:47	1	some heads and everybody else like i know that he wants everything to be nice to be good and 
00:11:47	00:11:52	2	but he's very stubborn and he'd only he doesn't like to listen to other people's um 
00:11:52	00:11:57	1	ideas but um i'm sure <unk> great 
00:11:57	00:12:00	2	keep us 'cause he was cheap yeah because he's 
00:12:00	00:12:04	1	i'll tell you i worked with him this whole week he doesn't eat a sick ever 
00:12:04	00:12:10	2	like all morning lungs so he doesn't eat he doesn't drink coffee either i didn't see him drinks everything 
00:12:10	00:12:11	1	water or anything 
00:12:11	00:12:18	2	he said i better drink something i have a headache really hot [laughter] but no he doesn't eat anything and then for lunch when we finally went to go 
00:12:18	00:12:23	1	get them and see how we eat like a little 
00:12:23	00:12:25	2	what we would eat maybe 
00:12:25	00:12:29	1	for a meal and that's it so i can understand 
00:12:29	00:12:38	2	now why he thinks that state because he doesn't have big eyes right and that's so funny way no so he had agreed to do it for a year and his years old 
00:12:38	00:12:40	1	are you excited at all about it 
00:12:40	00:12:46	2	well i'll tell you the truth until i made the decision i was scared and also i <unk> i missed the cooking part 
00:12:46	00:12:48	1	that that's fun 
00:12:48	00:13:00	2	yeah like this week even when they made the <unk> ah um coleslaw you know i kept penny kept telling me to taste it and make sure that it was a way that i do it and kind of mad he said to me i would need in mexico 
00:13:00	00:13:02	1	it's over you know 
00:13:02	00:13:07	2	but where everything and they're going to notice the cooking is different well that's what do you 
00:13:07	00:13:13	1	he says you know everyone thinks as they can only assume important but there's a lot of things that are 
00:13:13	00:13:17	2	very important in a frightening the kitchen and we'll see uh right now we mono 
00:13:17	00:13:20	1	you know <unk> till she got married 
00:13:20	00:13:22	2	she married that guy 
00:13:22	00:13:26	1	but not the israeli guy not the <unk> guy 
00:13:26	00:13:30	2	you're kidding well then that happen fast because 
00:13:30	00:13:32	1	that little <unk> 
00:13:32	00:13:37	2	nope i remember when i was there in october she had that guy from your <unk> name 
00:13:37	00:13:39	1	that <unk> that pay money 
00:13:39	00:13:40	2	yeah no 
00:13:40	00:13:48	1	money guy was over um it was over already around then but they were still <unk> instead of this guy was a <unk> 
00:13:48	00:13:56	2	some things more he's um i think his family's romanian or something anyway yeah it was very fast and they got married 
00:13:56	00:14:02	1	how old is she she will be eighteen and a half will be nineteen in december 
00:14:02	00:14:06	2	oh my god why did they allow that 
00:14:06	00:14:08	1	well i guess they didn't have a choice 
00:14:08	00:14:11	2	but the worst the worst things was originally 
00:14:11	00:14:14	1	he came to her parents that she's going to get married system to get married and not 
00:14:14	00:14:17	2	<unk> oh she got engaged before pet stuff 
00:14:17	00:14:19	1	so this was going to get married in october so 
00:14:19	00:14:25	2	they weren't so thrilled that at least okay it's uh and then all of a sudden they came back and said no we want to get married they got married the first 
00:14:25	00:14:28	1	oh <unk> yeah 
00:14:28	00:14:43	2	was a beautiful beautiful they do weddings week too vague [laughter] we do wedding so much nicer than in the old days for so we rent tables and chairs yeah and we sit it on the grass outside of how to roll cells and it was 
00:15:12	00:15:13	1	and they had like 
00:15:28	00:15:31	1	in september so that's not so much 
00:15:31	00:15:35	2	she cover here no oh i see that other guy 
00:15:35	00:15:36	1	real from this one is 
00:15:36	00:15:38	2	hi oh i know 
00:15:38	00:15:57	1	the other ones like uh uh from a family that's not from at all but he yeah they went to america for a month after the wedding her grandparents system uh even though they were mad you know the typical lottery other story they came from pastime and they told them they waited to tell them that they got engaged in weddings in june and they were so angry 
00:16:03	00:16:05	1	fear of course not even 
00:16:05	00:16:07	2	called them before maybe they would have saved 
00:16:07	00:16:09	1	yeah not tests 
00:16:09	00:16:14	2	there was here also sub so they were all upset just eight grand parents couldn't come back for the wedding but 
00:16:14	00:16:16	1	i don't know about you know 
00:16:16	00:16:19	2	i can't believe she got married [laughter] 
00:16:19	00:16:26	1	she got married and then the week after tall arrogant theories you know tall is the oldest 
00:16:26	00:16:30	2	yeah where she living well her <unk> 
00:16:30	00:16:34	1	he looks like he looks like mickey <unk> yeah 
00:16:34	00:16:44	2	he was really young so he looks really young you thought she just finished mailed the army and she met him during the army he someone non religious people 
00:16:44	00:16:46	1	oh my god yeah 
00:16:46	00:16:54	2	so now they're living on his he blew it um because they allow like <unk> to live there but they can 
00:16:54	00:16:57	1	oh that's all they do whatever right yet do whatever 
00:16:57	00:17:08	2	they want until they decide what they want us to see what they want to study i don't know what they're doing his parents aren't even living on the kibbutz anymore because he's a professor of something or other <unk> 
00:17:08	00:17:19	1	i don't know i know or somewhere for out of nowhere anyway so that was really weird like when she got engaged as a little hard for <unk> because he's not religious and everyone was 
00:17:19	00:17:24	2	gosh you would think at least in israel you would get what you want but not only that 
00:17:24	00:17:25	1	this kid just left the 
00:17:25	00:17:29	2	books at eighteen and nineteen seven backwards you know like 
00:17:29	00:17:31	1	had a lot of different voices 
00:17:31	00:17:35	2	during her lifetime anyway to make a long so she had her wedding 
00:17:35	00:17:36	1	oh so 
00:17:36	00:17:38	2	hers we did like um a buffet 
00:17:38	00:17:39	1	mhm 
00:17:39	00:17:42	2	so i was really nervous about that 'cause when did we ever do 
00:17:42	00:17:44	1	yeah 
00:17:58	00:18:01	2	shapes and sizes and we put up the salaries and move me some ah 
00:18:01	00:18:09	1	all different kinds uh we had um little cocktail hotdogs and we had chicken legs and we had it so 
00:18:09	00:18:14	2	made a beautiful basket with friends you know i only got on this fisher 
00:18:14	00:18:17	1	you know those fancy now is beautiful it also say that 
00:18:17	00:18:20	2	oh you guys must feel so old that you're married 
00:18:20	00:18:27	1	yeah we do feel old and it was beautiful ramona was nicer because they had a race bayer 
00:18:27	00:18:35	2	and everybody was that you know like in uh usually the wedding there's no room to dance so the whole parking lot was for dancing and on the grass was where we 
00:18:35	00:18:37	1	uh-huh 
00:18:37	00:18:49	2	if you would have seen seen a dance festival because there was like a circle <unk> girls a circle of her friends the circle of his friends because there was enough room for the kids had a circle that you could have like five six different circles all over the 
00:18:49	00:18:51	1	oh my god it was beautiful 
00:18:51	00:18:53	2	hi this is what happens 
00:18:53	00:19:04	1	even though i was really worried that people will stance or be happy for i don't know why that was ridiculous that everyone was just as happy but her bad and they got stuck somewhere and they're 
00:19:04	00:19:04	2	uh-huh 
00:19:04	00:19:06	1	something with bill 
00:19:06	00:19:12	2	quip men face it didn't come so we had to get from us be amplifier 
00:19:12	00:19:15	1	than ours are terrible mhm let me hear anything 
00:19:15	00:19:23	2	so people some people got really you know just you didn't say didn't dance and she was really upset i said <unk> 
00:19:23	00:19:33	1	even bother pay was getting this really great fruit and even so even if we would've known they were <unk> we would have said the car to go get it 
00:19:41	00:19:43	1	oh that whole class that whole 
00:19:43	00:19:54	2	<unk> there was only those two girls from the first class from the from the second now these other kids just finished high school like <unk> he's oldest daughter's going to the army next week 
00:19:54	00:19:56	1	no but doesn't she have a son 
00:19:56	00:20:04	2	<unk> mhm no but he's not a case yes i think voice wait a little yeah maybe 
00:20:04	00:20:06	1	<unk> so going with that guy 
00:20:06	00:20:12	2	well going he never really caught for a long time which we sign that says 
00:20:12	00:20:13	1	yeah 
00:20:13	00:20:26	2	i don't know some at some point in december i don't know why did it but see <unk> and then he saw him and he was so long because he went to a seminar <unk> he was going to be 
00:20:26	00:20:31	1	yeah oh my gosh yeah so after the seminar all her friends when 
00:20:31	00:20:37	2	someone grandmothers apartment and she made uh times to meet him 
00:20:37	00:20:41	1	so they met at the candy in the news so lying and then the next day 
00:20:45	00:20:56	2	back together you know it was nice sights other or at least i don't think that they i mean i don't think anything of going but even just to be friends right but um and then he was going to maybe come first will die 
00:20:56	00:20:59	1	other kids that are famous it's it's fear 
00:21:08	00:21:10	1	during the summer 
00:21:10	00:21:17	2	they're <unk> they're ditsy really cute really sweet he's really good friends with this one boy named god 
00:21:17	00:21:20	1	uh-huh yeah eighteen years old 
00:21:20	00:21:24	2	i mean she's out at night talking to him so who knows when 
00:21:41	00:21:46	1	you know you want to be cool yeah and luckily either wasn't home 
00:21:46	00:21:53	2	i said what is what's going on just you and him and she says yes [laughter] you know i'm used to the those are the bunch of people 
00:21:53	00:21:54	1	right 
00:21:54	00:21:56	2	anyway so she says um 
00:21:56	00:21:57	1	mhm 
00:21:57	00:22:02	2	we're just friends typist so then i knew that if she says that than i can completely so 
00:22:18	00:22:21	1	like <unk> son 
00:22:42	00:22:43	1	you know 
00:22:43	00:22:48	2	oh neat encourage twelve year old uh no she's all right this summer 
00:22:48	00:22:54	1	you know they work uh most of the days and now i'm just going to their big <unk> how about you you're there and most of 
00:22:54	00:23:01	2	yeah well it only as emotional i uh yeah next sundays visiting day so hopefully i'll see lenny 
00:23:01	00:23:03	1	and do they see we didn't see him last year 
00:23:03	00:23:09	2	that's true but you know who's there remember my friend know read the big girl 
00:23:09	00:23:12	1	that's beautiful necklace 
00:23:12	00:23:20	2	yeah yeah it helps with the flowers and if you know where she's working she's working and i oh we're no i think i think he's in charge of the 
00:23:20	00:23:22	1	okay i'll have to go see her 
00:23:22	00:23:38	2	see sierra and um leon as they are not hardly on came back yeah and then michael fisher was there but he's back here he came back after one month uh-huh and car mentally you know primarily is that big guy that was not 
00:23:38	00:23:39	1	oh right right there 
00:23:39	00:23:46	2	yes he was working a t._g._i. as head of the kids c._n._n. driver so i don't know if i'm visiting safe you would see bye 
00:23:46	00:23:51	1	i don't know i guess they send all these single ones to try and find why well 
00:23:51	00:23:54	2	they're just so neat you know from keyboard so to see that 
00:23:54	00:23:57	1	then like when a mistake 
00:24:04	00:24:06	1	mhm do they also with 
00:24:21	00:24:31	1	[laughter] so helene are called and left a message that she was in l._a. but of course i wasn't home so i called peggy and left a mess 
00:24:31	00:24:43	2	but <unk> every catches of israel now that's nice yes i spoke to less we finally and maybe i'll see here this week either in the sun yeah or 
00:24:43	00:24:49	1	<unk> oh yeah so she tells me she's on full thought i'll go down 
00:24:49	00:24:50	2	to see her 
00:24:50	00:24:53	1	and um <unk> the funniest 
00:25:03	00:25:07	1	in the army i don't know years and years ago but his wife is a <unk> 
00:25:07	00:25:12	2	of <unk> husband marty [laughter] he was there and left him 
00:25:12	00:25:21	1	with his parents into <unk> y has a male and called me that call your cousins you know but it's a small world in in that <unk> 
00:25:21	00:25:23	2	faster center going israel tonight 
00:25:23	00:25:27	1	oh wow yeah and they're doing this bike tourist somewhere up north 
00:25:27	00:25:29	2	yeah 
00:25:29	00:25:36	1	she's she's dying she's been practicing but i said look if you're going to be near <unk> if you're going to be in very a call allen no comes 
00:25:36	00:25:39	2	see you don't want to bother them 
00:25:39	00:25:47	1	yeah but see her yeah it's no big deal uh next week we're going on vacation days are going to be in this area like that area 
00:25:47	00:25:52	2	i don't know we haven't decided the two of you or everybody all all of us and then 
00:25:52	00:25:57	1	oh the reason i was going to tell you about the economic <unk> cause i'm going to go with you there for a weekend 
00:25:57	00:26:01	2	because i can't take off like the last week in august is still for <unk> 
00:26:01	00:26:02	1	they're to me 
00:26:02	00:26:13	2	like he around our anniversary and vacation time yeah we're going to go like the twenty fifth safety is a friday friday saturday sunday which i've never been in my life 
00:26:13	00:26:15	1	that's okay it's good for you 
00:26:15	00:26:18	2	yeah for us it's great i hope the kids still kill one of those 
00:26:18	00:26:20	1	then they'll be there when you come home 
00:26:20	00:26:22	2	[laughter] 
00:26:22	00:26:26	1	don't worry about it no 'cause i told you that want to go somewhere 
00:26:26	00:26:34	2	never bit like either sorry yeah or <unk> or or somewhere so where are you going i don't know yet i have to 
00:26:34	00:26:36	1	oh it's not like he's surprising you 
00:26:36	00:26:46	2	no i made the playoffs [laughter] [laughter] okay anyway so it's going to various no big deal if they called but i may see them here with their bicycle 
00:26:46	00:26:49	1	yeah you might i don't know did you ever hear of this 
00:26:49	00:26:52	2	things no but i don't think they would drive up to 
00:26:52	00:26:53	1	right 
00:26:53	00:26:59	2	<unk> uh a truck follows them around in case somebody drops or something 
00:26:59	00:27:00	1	without her kids 
00:27:00	00:27:05	2	yes she they go every year every year but is it yeah 
00:27:05	00:27:08	1	[noise] they told me she told me that um i 
00:27:08	00:27:12	2	uh-huh yeah left keyboards yeah 
00:27:17	00:27:21	2	that they left the boats and he goes to tear it seemed works there 
00:27:21	00:27:24	1	and they pay him it could be for 
00:27:24	00:27:28	2	i don't know how long has he had the truth is that um 
00:27:28	00:27:33	1	a lotta people left here to see this summer i don't know what happened there exactly but 
00:27:38	00:27:40	1	at one time about it 
00:27:40	00:27:48	2	so it's not so much that they weren't happy they <unk> i don't know she feels that the especially on parrots she you know you can never 
00:27:48	00:27:52	1	anywhere it's like you're always going to be you're always tyrants americans overeat 
00:27:52	00:27:57	2	always the younger they miss their kids to better things are good 
00:27:57	00:28:00	1	mhm and i don't know i 
00:28:00	00:28:03	2	or she felt that he was working so hard and 
00:28:03	00:28:05	1	never saw him at least 
00:28:05	00:28:07	2	if he was working for 
00:28:07	00:28:08	1	you know 
00:28:18	00:28:19	1	oh my god 
00:28:28	00:28:32	1	wow wife was most sweats me for the last couple of years so 
00:28:32	00:28:38	2	you know you never know what's bothering me for some but they have a lot of kids i think they have five yeah i think 
00:28:38	00:28:39	1	so i think that a lot 
00:28:39	00:28:42	2	and as i yell at enjoying campus 
00:28:42	00:28:44	1	right that she's happy 
00:28:57	00:29:02	2	i worry about it a lot of kids didn't go this year they said nobody was going so they didn't 
00:29:02	00:29:03	1	mhm 
00:29:03	00:29:17	2	of money but we'll see what <unk> what is then who knows it's going to be i don't have my <unk> like if you don't know if they don't have if you don't go to israel there's nothing in camp for after tenth grade 
00:29:17	00:29:19	1	ridiculous no 
00:29:19	00:29:21	2	is and if you don't go 
00:29:21	00:29:27	1	after ninth grade you're not allowed to go to israel you have to go to <unk> for some stupid reason 
00:29:27	00:29:32	2	it's no but it would probably be great to psych rates to myself so 
00:29:32	00:29:37	1	probably is i think they do a lot of things they go up to canada and the war and they 
00:29:37	00:29:49	2	<unk> most of march she says she's doing fine yeah mommy's that really upset about it uh nah yeah and i said why what how old are your kids 
00:29:49	00:29:52	1	i know everything upsets mommy lucky 
00:29:52	00:29:56	2	not me i didn't go to the lady said <unk> 
00:29:56	00:29:59	1	yeah maybe after fifth grade i don't remember 
